n	inicio	medio	n
100000	0.112382888794	0.145455121994	0.0536839962006
98000	0.110126018524	0.178679943085	0.0508542060852
94000	0.106111049652	0.181578874588	0.0522780418396
90000	0.131112098694	0.213901996613	0.0613281726837
86000	0.119596004486	0.161216020584	0.056834936142
82000	0.113039016724	0.178898096085	0.0572228431702
78000	0.0893731117249	0.131905078888	0.0427229404449
74000	0.0952568054199	0.166676998138	0.0456249713898
70000	0.0787909030914	0.111819982529	0.038330078125
66000	0.0898809432983	0.141382932663	0.0501382350922
62000	0.0897550582886	0.143827915192	0.0446000099182
58000	0.055557012558	0.0842888355255	0.0294561386108
54000	0.0724709033966	0.0996499061584	0.0351588726044
50000	0.0492901802063	0.0642168521881	0.0236639976501
46000	0.0631639957428	0.0824091434479	0.0305709838867
42000	0.0392279624939	0.0684549808502	0.0193979740143
38000	0.0424740314484	0.0584440231323	0.0231411457062
34000	0.0515031814575	0.0648958683014	0.0237939357758
30000	0.0306248664856	0.0455689430237	0.0152969360352
26000	0.0246720314026	0.0381450653076	0.0127139091492
22000	0.0203680992126	0.0349478721619	0.0106899738312
18000	0.0170061588287	0.023649930954	0.00897002220154
14000	0.0133950710297	0.0172610282898	0.00664591789246
10000	0.00951409339905	0.0194652080536	0.00486493110657
6000	0.00555396080017	0.00851988792419	0.00287914276123
