order,k,time
heap select,25999,0.034893989563
fuerza bruta,0,22.3210639954
fuerza bruta,13000,62.7442779541
fuerza bruta,25999,50.0403540134
quick_select,0,0.0235800743103
quick_select,13000,0.0356130599976
quick_select,25999,0.0121381282806
order,k,time
sorted_selection,0,0.00888109207153
sorted_selection,15000,0.00884294509888
sorted_selection,29999,0.0089259147644
k_heapsort,0,0.0176479816437
k_heapsort,15000,0.110028982162
k_heapsort,29999,0.189506053925
k_selection,0,0.00451683998108
k_selection,15000,53.5095891953
k_selection,29999,75.9325139523
heap select,0,0.0106201171875
heap select,15000,0.0962212085724
heap select,29999,0.040088891983
fuerza bruta,0,37.32340312
fuerza bruta,15000,24.7793529034
fuerza bruta,29999,69.0201740265
quick_select,0,0.0279011726379
quick_select,15000,0.0390439033508
quick_select,29999,0.0140750408173
order,k,time
sorted_selection,0,0.0103249549866
sorted_selection,17000,0.0100948810577
sorted_selection,33999,0.0100610256195
k_heapsort,0,0.0212528705597
k_heapsort,17000,0.120018005371
k_heapsort,33999,0.207174062729
k_selection,0,0.00520300865173
k_selection,17000,69.3968911171
k_selection,33999,98.2858290672
heap select,0,0.0122048854828
heap select,17000,0.110952854156
heap select,33999,0.0469319820404
fuerza bruta,0,56.2921078205
fuerza bruta,17000,109.227833986
fuerza bruta,33999,92.5949499607
quick_select,0,0.031574010849
quick_select,17000,0.0405218601227
quick_select,33999,0.0156190395355
order,k,time
sorted_selection,0,0.0116150379181
sorted_selection,19000,0.0115368366241
sorted_selection,37999,0.011433839798
k_heapsort,0,0.0220148563385
k_heapsort,19000,0.136639118195
k_heapsort,37999,0.231078863144
k_selection,0,0.0058650970459
k_selection,19000,98.5943789482
k_selection,37999,143.046306849
heap select,0,0.0152819156647
heap select,19000,0.141133069992
heap select,37999,0.0565099716187
fuerza bruta,0,80.7713491917
fuerza bruta,19000,45.9627990723
fuerza bruta,37999,122.273627996
quick_select,0,0.0350790023804
quick_select,19000,0.0526819229126
quick_select,37999,0.0184099674225
order,k,time
sorted_selection,0,0.0135109424591
sorted_selection,21000,0.0130081176758
sorted_selection,41999,0.0164580345154
k_heapsort,0,0.0262529850006
k_heapsort,21000,0.170819997787
k_heapsort,41999,0.266661882401
