n   k=0 k=n/2   k=n
125	0.00155282020569	0.00117111206055	0.000978946685791
500	0.000387907028198	0.0124409198761	0.0225210189819
1000	0.0346200466156	0.0199508666992	0.0946190357208
2000	0.180732965469	0.391042947769	0.390364170074
4000	0.364454030991	0.778262138367	0.771409988403
6000	0.714432001114	2.74660301208	0.554589033127
10000	5.24120116234	3.93057799339	3.30370402336
14000	12.8138110638	1.81309700012	10.1380388737
18000	1.1113550663	24.0685391426	20.2167561054
22000	10.3544089794	48.4804208279	33.9916269779
26000	22.3210639954	62.7442779541	50.0403540134
30000	37.32340312	24.7793529034	69.0201740265
34000	56.2921078205	109.227833986	92.5949499607
38000	80.7713491917	45.9627990723	122.273627996
42000	103.900174141	170.570759058	147.706436872
46000	131.896443844	15.7577669621	181.533928156
50000	162.661936998	232.506833076	216.737684965
54000	197.860923052	185.041210175	255.153144121
58000	235.369127035	321.507791042	297.335597992
62000	276.037900925	314.208496094	346.791714907
66000	323.160531998	340.846415997	402.568958044
70000	370.637550831	340.975765944	441.689882994
74000	419.749516964	156.994168997	499.981295824
78000	0.297841072083	46.7813801765	20.1377289295
82000	32.9946229458	394.088052034	53.7845058441
86000	69.4270169735	142.798335791	91.2117099762
90000	108.935602188	438.993935108	131.793294191
94000	150.844737053	284.962843895	174.919056177
100000	221.129821062	204.49115181	246.931097984
