n   k=0 k=n/2   k=n
125	2.40802764893e-05	0.000932931900024	0.00128984451294
500	8.17775726318e-05	0.0139760971069	0.0188128948212
1000	0.0001540184021	0.0555670261383	0.0747418403625
2000	0.000303983688354	0.222038984299	0.298304080963
4000	0.000602960586548	0.899204969406	1.21149420738
6000	0.00089693069458	2.00637793541	2.73573088646
10000	0.00151705741882	5.75915884972	7.95711779594
14000	0.0020649433136	11.1316609383	15.513504982
18000	0.00266599655151	18.915222168	26.7716071606
22000	0.00337600708008	29.3380110264	40.2405951023
26000	0.00395011901855	39.9563951492	55.6436328888
30000	0.00451683998108	53.5095891953	75.9325139523
34000	0.00520300865173	69.3968911171	98.2858290672
38000	0.0058650970459	98.5943789482	143.046306849
42000	0.00636100769043	119.120159149	181.529314995
46000	0.0072979927063	133.978641987	197.548064947
50000	0.00795698165894	158.873673916	241.698219061
54000	0.00869107246399	192.740056992	292.051851988
58000	0.00934886932373	226.114958048	352.077400923
62000	0.0100419521332	259.509091854	410.292036057
66000	0.0107831954956	298.600157976	476.719247103
70000	0.0117490291595	347.294857979	575.774603128
74000	0.0125200748444	384.542359829	624.854663849
78000	0.0128660202026	431.947993994	708.222691059
82000	0.0128610134125	471.07160902	781.011790037
86000	0.0144560337067	543.695754051	897.272455931
90000	0.0150620937347	599.479816914	1005.96101189
94000	0.0156419277191	659.877392054	1109.10853815
100000	0.0166699886322	760.11037302	1285.85579419
