n inicio  medio n
100000  190.643723965 173.243474007 225.395108938
98000 171.732861996 390.531784058 197.942181826
94000 162.578299046 264.22675705  148.528556108
90000 118.533394098 466.325250864 132.772339821
86000 85.5785710812 156.600885153 95.7150788307
82000 30.1734721661 447.407853842 57.9045820236
78000 0.266731977463  51.0137069225 19.0585298538
74000 452.021257162 186.078142881 629.465445042
70000 454.931764841
