n inicio  medio n
100000  0.0168600082397 767.580444098
98000 0.0197949409485 875.807203054 1422.85786295
94000 0.0164229869843 765.645820141 1398.83941889
90000 0.0181438922882 779.08140111  1274.21030402
86000 0.0156788825989 687.381551981 1377.48118401
82000 0.017364025116  747.526090145 1218.42739391
78000 0.0363831520081 691.389515877 1098.32818794
74000 0.0151309967041 587.298836946 1003.61401916
70000 0.0161690711975 528.913678885 922.182639837
