n	inicio	medio	n
100000	0.0388629436493	0.390847921371	0.164930105209
98000	0.0408010482788	0.390775918961	0.161024093628
94000	0.0382761955261	0.459007024765	0.161472082138
90000	0.0451428890228	0.476886034012	0.196027040482
86000	0.043741941452	0.460374116898	0.186837911606
82000	0.034332036972	0.334564208984	0.14075088501
78000	0.0332520008087	0.314851999283	0.13254404068
74000	0.0313999652863	0.285913944244	0.120234012604
70000	0.0304660797119	0.296180009842	0.121798038483
66000	0.0918979644775	0.987608909607	0.397660970688
62000	0.0235929489136	0.27667593956	0.134026050568
58000	0.0323250293732	0.326255083084	0.138972997665
54000	0.0200800895691	0.198781967163	0.0868389606476
50000	0.0262658596039	0.269613981247	0.111325979233
46000	0.0241100788116	0.167726993561	0.0723910331726
42000	0.0158247947693	0.148293018341	0.0658209323883
38000	0.013778924942	0.124298095703	0.0577161312103
34000	0.014545917511	0.129343032837	0.055202960968
30000	0.0109829902649	0.107862949371	0.0458641052246
26000	0.00921988487244	0.0841279029846	0.0371530056
22000	0.00788903236389	0.0744109153748	0.0317351818085
18000	0.00634098052979	0.0572080612183	0.0244359970093
14000	0.00498199462891	0.0424089431763	0.0187940597534
10000	0.00372195243835	0.0338101387024	0.0135490894318
6000	0.00220799446106	0.0170421600342	0.00794696807861
